station,city,longitude,latitude
邵阳,邵阳,111.28050768063707,26.996528332196284
十堰,十堰,110.78840524628325,32.610024123208596
双阳,长春,125.64787100575398,43.523357093369036
十堰东,十堰,110.83113198006818,32.71346111923777
顺义,北京,116.65189000833026,40.13230706047071
松原,松原,124.82302477846918,45.11525437453922
双鸭山西,双鸭山,131.0979074132656,46.717012604842076
顺义西,北京,116.49780096928721,40.18572406117433
深圳北,深圳,114.03552911268908,22.615107645742686
苏州北,苏州,120.64981745507231,31.427326968600465
深圳机场,深圳,113.81739349594264,22.62736277907636
嵊州新昌,绍兴,120.82649481831551,29.53285103906507
深圳东,深圳,114.12614109962007,22.60818427732021
宿州东,宿州,117.2567710302569,33.681769225183864
绥中,葫芦岛,120.36009317724714,40.32826646523706
朔州,朔州,112.45488880803035,39.32201766474436
深圳,深圳,114.1236105729993,22.537960845504283
随州,随州,113.42315713587247,31.727188767633447
宿州,宿州,117.00439569045064,33.64593402218447
苏州,苏州,120.61711572094816,31.33593598865783
尚志,哈尔滨,127.96765766028867,45.214157940492015
随州南,随州,113.37148498598863,31.658054951763596
尚志南,哈尔滨,127.95989701932682,45.20182682765783
深圳坪山,深圳,114.33362640624374,22.713577388295043
石嘴山,石嘴山,106.42803631949718,38.92305042593265
石柱县,石柱,108.10383287115957,29.971676646484557
泰安,泰安,117.04172774032595,36.17806000536282
通北,黑河,126.7675789006727,47.77405398178133
铜川东,铜川,109.10127898323904,35.08472291694431
塔城,塔城,82.99260495993123,46.70469465895357
通道,怀化,109.63894760580655,26.32173327668179
潼关,渭南,110.25428410869978,34.54165219534056
太谷,晋中,112.57664477753057,37.42808836369042
塘沽,天津,117.64823244946186,39.03318360928707
吐哈,吐鲁番,90.53765719066554,43.06706744205235
通海,玉溪,102.67505961668587,24.12211460964148
塔哈,齐齐哈尔,124.23820498467936,47.55846772065429
天河机场,武汉,114.2235140181284,30.776541853546725
泰和,吉安,114.95568689202935,26.837630394681145
塔河,加格达奇,124.70467168007058,52.339252305506065
太湖南,安庆,116.36824070117741,30.414936618884116
天河潭,贵阳,106.57839540210729,26.42823633636128
通化,通化,125.76539191392739,41.68568223806826
太湖,安庆,116.30644985836808,30.465673762434132
同江,佳木斯,132.51420741082913,47.63506751505823
托克托东,呼和浩特,111.30955898450797,40.2577700862604
泰来,齐齐哈尔,123.41908726133406,46.3978899456604
吐鲁番北,吐鲁番,89.11761278625367,43.0287679033347
吐鲁番,吐鲁番,88.88118353704667,43.15647996576331
通辽,通辽,122.27732893057453,43.611233510101876
铜陵,铜陵,117.86786814665147,30.92483759808952
铁岭,铁岭,123.67987101992166,42.23897889426349
铁力,伊春,128.06090734171914,46.98047071718336
桐庐,杭州,119.73886001398901,29.79596000852896
铁岭西,铁岭,123.67987101992166,42.23897889426349
陶赖昭,松原,125.94549165850351,44.83225855669157
图们北,延边,129.8065094404364,43.00276068237554
图木舒克,喀什,75.99639055639747,39.47609674864479
天门南,天门,113.46270683256027,30.433414032474737
