start_station_id,end_station_id,running_time,train_no
1084,2125,11,D656
377,2264,11,G2707
1026,754,11,D5772
1600,258,11,C6708
270,568,11,D7713
738,427,11,C554
2130,717,11,K7150
2119,961,11,G7045
2306,1490,11,G1386
1270,1255,11,C5266
2293,1872,11,C7007
721,1561,11,G1676
386,1739,11,K117
1570,522,11,C6927
559,533,11,D2742
2057,2367,11,K5104
655,316,11,C6303
2265,1346,11,T25
1129,2258,11,C312
2391,2392,11,K9379
497,1394,11,G308
1831,1424,11,D9632
59,333,11,C603
1106,1877,11,C6313
2250,1306,11,D6595
727,2389,11,K9379
1899,1680,11,G5297
1588,1606,11,G707
804,814,11,C6091
1402,1028,11,D6031
1495,2096,11,G2817
205,199,11,D6570
157,175,11,D7817
2380,2381,11,K7103
1763,2382,11,K7108
2369,1484,11,K7108
2063,1007,11,D6611
1547,1717,11,G1087
1011,77,11,D5898
165,641,11,K5179
63,1688,11,G7681
53,49,11,G5372
1265,1741,11,C7456
2084,741,11,K7298
1796,1762,11,K1073
1281,1912,11,C7621
1401,2419,11,C163
633,869,11,G7388
1244,147,11,C7466
1517,2108,11,C154
1205,1833,11,C161
2037,116,11,G8357
1587,1896,11,G2072
2384,332,11,K7248
1255,2300,11,D2429
1140,2189,11,D7895
1065,764,12,G1272
302,1954,12,D1753
158,1379,12,D7616
2066,338,12,S7948
659,528,12,G7756
750,1489,12,D6338
1512,80,12,D3704
114,413,12,G8016
1258,1415,12,G7751
1880,1172,12,D1751
1288,429,12,G2191
2297,2309,12,K8747
869,346,12,G8348
1218,1077,12,D3730
1018,1330,12,G1909
0,832,12,S501
2112,2050,12,G1669
915,922,12,G8297
2316,1325,12,D1794
26,56,12,G5378
2050,1853,12,G1272
655,1910,12,G2185
860,601,12,G1518
212,329,12,D2208
545,654,12,D1678
1257,1501,12,G2298
303,1111,12,C3368
1020,1748,12,G7450
610,1764,12,D2819
823,506,12,G7194
346,40,12,G636
1109,723,12,G2825
744,696,12,D1713
1466,2206,12,C3262
49,1307,12,G1061
397,168,12,G8010
928,982,12,G636
500,980,12,G2693
1764,1535,12,D1779
1899,826,12,G5366
1386,169,12,K6678
1060,1895,12,G2818
1442,1468,12,G8251
1676,1117,12,D6439
1827,635,12,G279
730,1908,12,D1920
1062,2028,12,D3048
880,831,12,G1239
417,484,12,D7301
1242,925,12,G9837
1753,730,12,D1948
768,1933,12,G7540
1278,1849,12,G8774
1989,1308,12,D3630
2007,544,12,G7315
81,1157,12,G852
2112,193,12,G8331
644,149,12,G8185
1650,486,12,G2281
650,1775,12,D8582
179,2239,12,C1313
2135,454,12,G627
1793,751,12,Z275
2080,980,12,G5058
936,47,12,G7610
2168,1147,12,C162
1833,1401,12,C163
2328,302,12,G4862
593,756,12,G4762
2125,2096,12,G7402
1964,740,12,D7161
45,459,12,D3104
438,979,12,D7049
140,1911,12,G1972
2140,1563,12,G2759
1263,1859,12,G9769
1838,1950,12,C199
1735,1515,12,C198
793,1727,12,D7114
1759,173,12,K8295
88,599,12,C2932
1727,617,12,D673
1137,1091,12,D1842
2119,1634,12,G7236
210,832,12,D6702
451,935,12,D686
1502,1360,12,K5104
14,519,12,C2559
2046,1855,12,C252
1138,1579,12,G7428
2117,1480,12,K604
718,1429,12,C6924
1577,2196,12,G326
1121,919,12,D5754
522,1991,12,C6905
553,1520,12,G2358
850,30,12,G6023
1901,49,12,G2652
142,1116,12,K7108
973,732,12,K1130
1680,1700,12,G5573
1593,83,12,D2661
807,1848,12,G7911
666,166,12,C6374
1611,1615,12,C6754
21,1039,12,C6645
1906,2279,12,C9301
1751,571,12,G2622
325,1265,12,C7444
1852,1839,12,C7685
1244,1747,12,C7438
2049,2305,12,C7682
1251,1815,12,K7334
2149,1496,12,G6676
1281,2305,12,C7698
279,1621,12,G3158
2225,2058,12,K928
2305,1856,12,C7654
548,1694,12,K534
1372,686,12,K7521
338,1639,12,S6913
255,1405,12,G6546
564,570,12,K7784
1990,826,12,G5531
364,291,12,C5884
1280,1898,12,D7741
1410,579,12,D771
1471,1070,12,D771
1964,1509,12,G6355
1812,1641,12,G2996
1109,894,12,C5980
96,1125,12,C5576
2175,1873,12,D7711
113,1641,12,G2926
1873,1653,12,D7711
115,2213,12,G7056
1596,1534,12,C5502
2331,2347,12,C61
2388,145,12,K996
364,556,12,C5801
496,1457,12,D3211
1990,1830,12,G6996
2178,23,12,G6044
767,768,12,C468
1201,2377,12,K7098
2407,2408,12,S902
1397,1451,12,S902
657,1716,12,G7478
256,1361,12,D7749
2345,2325,13,D3583
1022,1,13,S102
1457,2333,13,G596
2251,2116,13,D3329
552,535,13,D3293
1679,1899,13,G5366
1325,1789,13,G1984
2076,2224,13,D2794
1818,1151,13,G541
427,1729,13,D8696
935,617,13,G1175
660,867,13,D2107
1457,45,13,G7625
53,87,13,G5377
1575,1466,13,G8352
1103,2011,13,G6158
927,976,13,D8804
33,843,13,G6007
24,25,13,G862
526,1002,13,D2323
1527,2044,13,G7701
1392,2165,13,G4578
2271,2303,13,G7567
401,700,13,D354
1448,682,13,G2261
